Item,Description,Labor In Minutes
816609-005,,
BU03XL,,
REPAIR-HP-14-G4-DC-JACK,DC Jack Repair,15
841638-001,,
REPAIR-HP-14-G4-WIFI-CARD,Wifi Card Repair,15
784645-005,,
755529-005,,
04X6007,,
KI.WKN01.006,,
GPFNK,,
20200552,,
REPAIR-HP-14-G4-SPEAKERS,Speaker Repair,15
787723-001,,
REPAIR-HP-14-G4-IO-BOARD,I/O Board Repair,15
830873-001,,
REPAIR-HP-14-G4-TRACKPAD,Trackpad Repair,30
834910-001,,
REPAIR-HP-14-G4-TRACKPAD-CABLE,Trackpad Cable Repair,15
830870-001,,
REPAIR-HP-14-G4-MISSING-KEY,Key Cap Replacement ,15
N/A,,
REPAIR-HP-14-G4-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-14-G4-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-14-G4-CHARGING-PORT-REMOVAL,Charging Port Removal ,15
N/A,,
REPAIR-HP-14-G4-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-14-G4-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-14-G5,Full Unit Repair for HP 14 G5,
HP-14-G5-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-14-G5-LCD,LCD Repair,15
N140BGA-EA3REV.C1,,
REPAIR-HP-14-G5-LCD-TOUCH,Touchscreen Repair,15
N140BGN-E42REV.C2,,
L14347-001,,
REPAIR-HP-14-G5-LVDS,LVDS Cable Repair,30
L14338-001,,
REPAIR-HP-14-G5-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30
L15395-001,,
REPAIR-HP-14-G5-CAMERA-CABLE,Camera Cable Repair,30
DD00G3CM002,,
REPAIR-HP-14-G5-HINGESET,Hinge Repair,30
L14332-001,,
REPAIR-HP-14-G5-BEZEL,Bezel Repair,15
L14335-001,,
REPAIR-HP-14-G5-TOPCOVER,Topcover Repair,30
L14333-001,,
REPAIR-HP-14-G5-CAMERA-MIC,Webcam Repair,15
L07235-001,,
REPAIR-HP-14-G5-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-14-G5-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-14-G5-PALMREST,Palmrest Repair,15
L14355-001,,
REPAIR-HP-14-G5-TRACKPAD,Trackpad Repair,30
L14356-001,,
REPAIR-HP-14-G5-BOTTOMCASE,Bottomcase Repair,30
L14329-001,,
REPAIR-HP-14-G5-BATTERY,Battery Repair,30
917725-855,,
REPAIR-HP-14-G5-SPEAKER,Speaker Repair,15
L14353-001,,
REPAIR-HP-14-G5-USB-BOARD,I/O Board Repair,15
L14358-001,,
REPAIR-HP-14-G5-SENSOR-BOARD,Sensor Board Repair,15
L14331-001,,
REPAIR-HP-14-G5-WIFI-CARD,Wifi Card Repair,15
901229-855,,
REPAIR-HP-14-G5-MISSING-KEY,Key Cap Replacement ,15
N/A,,
REPAIR-HP-14-G5-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-14-G5-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-14-G5-CHARGING-PORT-REMOVAL,Charging Port Removal ,15
N/A,,
REPAIR-HP-14-G5-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-14-G5-CABLE-RESEAT,Cable Reseat,15
N/A,,
